time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-22 00:00:00+00:00,8,6,205,81
2022-06-23 00:00:00+00:00,21,10,292,46
2022-06-24 00:00:00+00:00,22,10,102,20
2022-06-25 00:00:00+00:00,22,15,139,32
2022-06-26 00:00:00+00:00,13,12,142,51
2022-06-27 00:00:00+00:00,20,13,64,20
2022-06-28 00:00:00+00:00,10,9,115,25
2022-06-29 00:00:00+00:00,17,11,56,19
2022-06-30 00:00:00+00:00,54,15,111,14
2022-07-01 00:00:00+00:00,36,17,151,61
2022-07-02 00:00:00+00:00,21,16,192,47
2022-07-03 00:00:00+00:00,58,13,34,20
2022-07-04 00:00:00+00:00,84,11,45,17
2022-07-05 00:00:00+00:00,24,15,64,12
2022-07-06 00:00:00+00:00,11,7,13,5
