time_iso8601,stars_cumulative
2022-05-30 00:00:00+00:00,27
2022-05-31 00:00:00+00:00,108
2022-06-01 00:00:00+00:00,123
2022-06-02 00:00:00+00:00,129
2022-06-03 00:00:00+00:00,131
2022-06-04 00:00:00+00:00,132
2022-06-05 00:00:00+00:00,133
2022-06-06 00:00:00+00:00,134
2022-06-07 00:00:00+00:00,135
2022-06-10 00:00:00+00:00,138
2022-06-12 00:00:00+00:00,139
2022-06-14 00:00:00+00:00,140
2022-06-16 00:00:00+00:00,142
2022-06-17 00:00:00+00:00,144
2022-06-18 00:00:00+00:00,145
2022-06-20 00:00:00+00:00,146
2022-06-22 00:00:00+00:00,162
2022-06-23 00:00:00+00:00,165
2022-06-24 00:00:00+00:00,167
2022-06-25 00:00:00+00:00,171
2022-06-26 00:00:00+00:00,173
2022-06-27 00:00:00+00:00,174
2022-06-28 00:00:00+00:00,180
2022-06-29 00:00:00+00:00,182
2022-06-30 00:00:00+00:00,183
2022-07-01 00:00:00+00:00,197
2022-07-02 00:00:00+00:00,204
2022-07-03 00:00:00+00:00,206
2022-07-04 00:00:00+00:00,208
2022-07-05 00:00:00+00:00,209
2022-07-06 00:00:00+00:00,210
