time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-17 00:00:00+00:00,20,8,78,14
2022-06-18 00:00:00+00:00,10,8,61,14
2022-06-19 00:00:00+00:00,88,14,183,5
2022-06-20 00:00:00+00:00,40,9,72,11
2022-06-21 00:00:00+00:00,36,9,160,6
2022-06-22 00:00:00+00:00,55,14,570,220
2022-06-23 00:00:00+00:00,21,10,292,46
2022-06-24 00:00:00+00:00,22,10,102,20
2022-06-25 00:00:00+00:00,22,15,139,32
2022-06-26 00:00:00+00:00,13,12,142,51
2022-06-27 00:00:00+00:00,20,13,64,20
2022-06-28 00:00:00+00:00,10,9,115,25
2022-06-29 00:00:00+00:00,17,11,56,19
2022-06-30 00:00:00+00:00,54,15,111,14
2022-07-01 00:00:00+00:00,20,8,107,49
